49,País,Nombre del País en inglés,Indexado, Texto(TEXT),Afghanistan
50,Código,Código corto alfabético que representar a los países.,Indexado, Texto(TEXT),AFG
51,Año,Año del dato,Indexado, Texto(TEXT),2022
52,Consumo Eólico - Twh,Consumo proveniente de fuentes de energía eólica en TWh (Teravatio/hora),Indexado,DOUBLE ,323.496124
53,Consumo Hidroeléctrico - Twh,Consumo proveniente de fuentes de energía hidroeléctrica en TWh (Teravatio/hora),Indexado,DOUBLE ,145.496124
54,Consumo Solar - Twh,Consumo proveniente de fuentes de energía solar en TWh (Teravatio/hora),Indexado,DOUBLE ,223.496124
55,Consumo Nuclear - Twh,Consumo proveniente de fuentes de energía nuclear en TWh (Teravatio/hora),Indexado,DOUBLE ,65.496124
56,Consumo De Biocombustibles - Twh,Consumo proveniente de fuentes de biocombustibles en TWh (Teravatio/hora),Indexado,DOUBLE ,53.496124
57,Geo Biomasa Otros - Twh,Consumo proveniente proveniente de biomasa en TWh (Teravatio/hora),Indexado,DOUBLE ,93.496124
58,Consumo De Carbón - Twh,Consumo proveniente de fuentes de carbón en TWh (Teravatio/hora),Indexado,DOUBLE ,323.496124
59,Consumo De Aceite - Twh,Consumo proveniente de fuentes de biocombustibles en TWh (Teravatio/hora),Indexado,DOUBLE ,83.496124
60,Consumo De Gas - Twh,Consumo proveniente de fuentes de biocombustibles en TWh (Teravatio/hora),Indexado,DOUBLE ,113.496124
61,Id_País,Código obtenido mediante funcion hash aplicada al país de la emisión.,Clave Primaria, Texto(TEXT),f5a7924e621e84c9280a9a27e1bcb7f6
62,Id_Año,Código obtenido mediante funcion hash aplicada al año de la emisión.,Clave Primaria, Texto(TEXT),e4dd5528f7596dcdf871aa55cfccc53c
63,tabla_hecho_Id_Año,Código proveniente de  tabla_hecho  obtenido mediante funcion hash aplicada al año de la emisión.,Clave Foránea , Texto(TEXT),e4dd5528f7596dcdf871aa55cfccc53c
64,tabla_hecho_Id_País,Código proveniente de  tabla_hecho  obtenido mediante funcion hash aplicada al país de la emisión.,Clave Foránea , Texto(TEXT),f5a7924e621e84c9280a9a27e1bcb7f6
65,tabla_hecho_gases_normalizados_Id_Año,Código proveniente de  tabla_hecho_gases_normalizados obtenido mediante funcion hash aplicada al año de la emisión.,Clave Foránea , Texto(TEXT),e4dd5528f7596dcdf871aa55cfccc53c
66,energyco2_normalizado
67,Atributo,Descripción,Obligación /Condición,Tipo de dato,Ejemplo
68,País,Nombre del País en inglés,Indexado, Texto(TEXT),Afghanistan
69,Combustible,Tipo de combustible,Indexado, Texto(TEXT),Coal
70,Año,Año del dato,Indexado, Texto(TEXT),2022
71,Consumo De Energía,Consumo total de energía en el país en TWh (Teravatio/hora),Indexado,DOUBLE ,292.8769
72,Producción de Energía,Producción total de energía en el país en TWh (Teravatio/hora),Indexado,DOUBLE ,521.8769
73,PiB,Producto interno bruto es el valor total de la corriente de bienes y servicios finales.,Indexado,DOUBLE ,27770.91
74,Población,Cantidad de habitantes de un territorio.,Indexado,DOUBLE ,4298127000000
75,Intensidad_Energética_per_cápita,Es el cociente entre el consumo energético y los habitantes.,Indexado,DOUBLE ,68.496124
76,Intensidad_Energética_per_PiB,Es el cociente entre el consumo energético y el PiB.,Indexado,DOUBLE ,10541.496124
77,Emisión de CO2,Emisión total de CO2 del país.,Indexado,DOUBLE ,323.496124
78,Consumo De Energía - Twh,Consumo total  de energía del país en Teravatio/hora.,Indexado,DOUBLE ,323.496124
79,Produción De Energía - Twh,Producción total  de energía del país en Teravatio/hora.,Indexado,DOUBLE ,323.496124
80,Intensidad_Energética_per_Cápita TWh,"Es el cociente entre el consumo energético y los habitantes, medido en Teravatio/hora",Indexado,DOUBLE ,11.59
81,Intensidad_Energética_per_PiB TWh,"Es el cociente entre el consumo energético y el PiB, medido en Teravatio/hora",Indexado,DOUBLE ,11.59
82,Id_País,Código obtenido mediante funcion hash aplicada al país de la emisión.,Clave Primaria, Texto(TEXT),f5a7924e621e84c9280a9a27e1bcb7f6
83,Id_Año,Código obtenido mediante funcion hash aplicada al año de la emisión.,Indexado, Texto(TEXT),e4dd5528f7596dcdf871aa55cfccc53c
84,Id_Combustible,Código obtenido mediante funcion hash aplicada al tipo de combustible empleado.,Indexado, Texto(TEXT),cc8cc099b05d2c44e441a5443da94571
85,tabla_hecho_Id_Año,Código proveniente de  tabla_hecho  obtenido mediante funcion hash aplicada al año de la emisión.,Clave Foránea , Texto(TEXT),e4dd5528f7596dcdf871aa55cfccc53c
86,tabla_hecho_Id_País,Código proveniente de  tabla_hecho  obtenido mediante funcion hash aplicada al país de la emisión.,Clave Foránea , Texto(TEXT),f5a7924e621e84c9280a9a27e1bcb7f6
87,tabla_hecho_gases_normalizados_Id_Año,Código proveniente de  tabla_hecho_gases_normalizados obtenido mediante funcion hash aplicada al año de la emisión.,Clave Foránea , Texto(TEXT),e4dd5528f7596dcdf871aa55cfccc53c
88,partic_global_energía
89,Atributo,Descripción,Obligación /Condición,Tipo de dato,Ejemplo
90,Id_País,Código obtenido mediante funcion hash aplicada al país de la emisión.,Clave Primaria, Texto(TEXT),f5a7924e621e84c9280a9a27e1bcb7f6
91,Código,Nombre del País en inglés,Indexado, Texto(TEXT),AFG
92,País,Nombre del País en inglés,Indexado, Texto(TEXT),Afghanistan
93,Combustible,Tipo de combustible,Indexado, Texto(TEXT),Hydro
94,cant,Cantidad total.,Indexado,BIGINT,1
95,Percentage,Porcentaje del total de energía global.,Indexado, Texto(TEXT),0.143266
96,tabla_hecho_Id_Año,Código proveniente de  tabla_hecho  obtenido mediante funcion hash aplicada al año de la emisión.,Clave Foránea , Texto(TEXT),e4dd5528f7596dcdf871aa55cfccc53c
97,tabla_hecho_Id_País,Código proveniente de  tabla_hecho  obtenido mediante funcion hash aplicada al país de la emisión.,Clave Foránea , Texto(TEXT),f5a7924e621e84c9280a9a27e1bcb7f6
98,tabla_hecho_gases_normalizados_Id_Año,Código proveniente de  tabla_hecho_gases_normalizados obtenido mediante funcion hash aplicada al año de la emisión.,Clave Foránea , Texto(TEXT),e4dd5528f7596dcdf871aa55cfccc53c
99,primary_energy
100,Atributo,Descripción,Obligación /Condición,Tipo de dato,Ejemplo
101,Id_Año,Código obtenido mediante funcion hash aplicada al año de la emisión.,Clave Primaria, Texto(TEXT),e4dd5528f7596dcdf871aa55cfccc53c
102,Id_País,Código obtenido mediante funcion hash aplicada al país de la emisión.,Indexado, Texto(TEXT),f5a7924e621e84c9280a9a27e1bcb7f6
